frame_name,coordinates
00057.jpg,"[{'contour_0': (1044, 453, 140, 89)}, {'contour_1': (961, 433, 123, 63)}, {'contour_2': (414, 261, 113, 39)}, {'contour_3': (782, 63, 123, 31)}]"
00058.jpg,"[{'contour_0': (627, 333, 115, 60)}, {'contour_1': (464, 286, 138, 58)}, {'contour_2': (838, 87, 116, 32)}]"
00059.jpg,"[{'contour_0': (1094, 476, 142, 91)}, {'contour_1': (1009, 456, 123, 65)}, {'contour_2': (629, 320, 115, 69)}, {'contour_3': (891, 112, 117, 31)}]"
00060.jpg,"[{'contour_0': (1103, 484, 161, 94)}, {'contour_1': (998, 467, 161, 64)}, {'contour_2': (945, 135, 122, 30)}]"
00061.jpg,"[{'contour_0': (528, 682, 82, 38)}, {'contour_1': (1059, 478, 127, 64)}, {'contour_2': (602, 312, 147, 91)}, {'contour_3': (997, 156, 127, 33)}]"
00062.jpg,"[{'contour_0': (1085, 488, 127, 67)}, {'contour_1': (671, 382, 120, 49)}, {'contour_2': (1050, 180, 124, 34)}]"
00063.jpg,"[{'contour_0': (1110, 501, 130, 67)}, {'contour_1': (727, 415, 118, 44)}, {'contour_2': (1105, 205, 121, 34)}]"
00064.jpg,"[{'contour_0': (75, 530, 108, 68)}, {'contour_1': (1136, 514, 130, 66)}, {'contour_2': (779, 443, 124, 43)}, {'contour_3': (1164, 231, 116, 33)}]"
00065.jpg,"[{'contour_0': (243, 651, 129, 69)}, {'contour_1': (1159, 525, 121, 56)}, {'contour_2': (834, 433, 148, 79)}, {'contour_3': (572, 308, 140, 66)}]"
00066.jpg,"[{'contour_0': (1189, 536, 91, 53)}, {'contour_1': (889, 497, 124, 44)}]"
00067.jpg,"[{'contour_0': (294, 654, 172, 66)}, {'contour_1': (948, 523, 128, 51)}, {'contour_2': (561, 304, 197, 93)}]"
00068.jpg,"[{'contour_0': (370, 699, 92, 21)}, {'contour_1': (609, 545, 119, 49)}]"
00069.jpg,"[{'contour_0': (826, 650, 128, 70)}, {'contour_1': (565, 309, 198, 80)}]"
00070.jpg,"[{'contour_0': (73, 666, 130, 54)}, {'contour_1': (587, 304, 178, 78)}]"
00071.jpg,"[{'contour_0': (881, 686, 123, 34)}, {'contour_1': (59, 77, 129, 40)}, {'contour_2': (257, 58, 199, 103)}]"
00072.jpg,"[{'contour_0': (646, 334, 121, 65)}, {'contour_1': (106, 103, 137, 42)}]"
00073.jpg,"[{'contour_0': (159, 114, 169, 57)}, {'contour_1': (364, 109, 137, 73)}]"
00074.jpg,[]
00075.jpg,[]
00076.jpg,[]
00077.jpg,"[{'contour_0': (60, 678, 142, 42)}, {'contour_1': (649, 319, 135, 83)}]"
00078.jpg,[]
00079.jpg,[]
00080.jpg,"[{'contour_0': (556, 299, 188, 71)}]"
00081.jpg,[]
00082.jpg,"[{'contour_0': (177, 651, 141, 69)}]"
00083.jpg,"[{'contour_0': (262, 670, 91, 50)}, {'contour_1': (747, 405, 155, 62)}]"
00084.jpg,"[{'contour_0': (833, 650, 122, 70)}, {'contour_1': (813, 445, 160, 56)}]"
00085.jpg,"[{'contour_0': (261, 702, 96, 18)}, {'contour_1': (878, 484, 94, 22)}]"
00086.jpg,"[{'contour_0': (828, 665, 173, 55)}, {'contour_1': (949, 521, 170, 54)}]"
00087.jpg,"[{'contour_0': (1019, 555, 100, 24)}]"
00088.jpg,[]
00089.jpg,[]
00090.jpg,[]
00091.jpg,[]
00092.jpg,"[{'contour_0': (8, 533, 172, 53)}, {'contour_1': (609, 293, 108, 55)}]"
00093.jpg,[]
00094.jpg,[]
00095.jpg,[]
